zipcode,rating,insertedAtTimestamp,longitude,address,id,latitude,name,review_count,cuisine
11238,3.5,2018-05-02 17:20:28.796079,-73.957229,"789 Franklin Ave, Brooklyn, NY 11238",pMgk7E6bCG5Aj2sLuowobw,40.6718339,Golden Chopstick,55,chinese
10011,4.0,2018-05-02 17:23:20.672193,-74.0009234316419,"362 W 23rd St, New York, NY 10011",kQa2W0D84lwO31QgUPoOLA,40.7461547329618,Ushiwakamaru,135,japanese
11225,3.5,2018-05-02 17:20:28.968506,-73.9600143432617,"651 Flatbush Ave, Brooklyn, NY 11225",UJtUaOXnwtQA1rb-4BHsCg,40.6575736999512,Hai Sun Chinese Restaurant,29,chinese
10020,3.5,2018-05-02 17:22:42.765492,-73.97927,"W 49th St, New York, NY 10020",Q4n9sIofNcwZ4y-3swaKKg,40.75856,Bapcha Korean Cuisine Cart,58,korean
10022,4.5,2018-05-02 17:21:08.173734,-73.9666010811925,"883 First Ave, New York, NY 10022",26emJlm1YMFyOCezfgVk4g,40.7535386913133,Da Raffaele,95,italian
11213,4.5,2018-05-02 17:22:07.376088,-73.9415099,"135 Kingston Ave, Brooklyn, NY 11213",KDr72efaFAcQXccdA4yoaw,40.67526,Cas West Indian & American Restaurant,10,indian
10282,3.5,2018-05-02 17:22:56.386422,-74.0155441,"255 Vesey St, New York, NY 10282",tA1QO_GParSsaOaO8UoBvQ,40.7148416,Blue Smoke,539,korean
10012,3.5,2018-05-02 17:20:53.419728,-74.0014326,"89 MacDougal St, New York, NY 10012",BvnEhQ_8Db95Kf0ZGa4s7w,40.7290891,JG Melon,146,american
10016,4.0,2018-05-02 17:20:29.971882,-73.97649,"557 3rd Ave, New York, NY 10016",51_f1MyuRFpEIpzb57YmEA,40.747395,Hendriks,304,american
11377,2.5,2018-05-02 17:20:29.248663,-73.9140785,"5008 Skillman Ave, Woodside, NY 11377",ATqzYWJLxhNlaXGjmHGNZQ,40.7459596,New Szechuan House,43,chinese
11215,3.5,2018-05-02 17:23:40.066322,-73.98215,"276 5th Ave, Brooklyn, NY 11215",qF7MR9gKSkDrIA0ACw4TZw,40.67437,Naruto Ramen,424,japanese
